region,tech,vintage,period,fraction,notes,data_id
AB,T_LDV_C_GSL,2005.0,2011.0,0.96,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2005.0,2012.0,0.94,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2005.0,2013.0,0.92,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2005.0,2014.0,0.89,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2005.0,2015.0,0.86,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2005.0,2016.0,0.83,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2005.0,2017.0,0.79,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2005.0,2018.0,0.72,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2005.0,2019.0,0.61,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2005.0,2020.0,0.51,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2005.0,2021.0,0.41,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2005.0,2022.0,0.33,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2005.0,2023.0,0.26,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2005.0,2024.0,0.2,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2005.0,2025.0,0.16,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2005.0,2026.0,0.12,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2005.0,2027.0,0.09,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2005.0,2028.0,0.07,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2005.0,2029.0,0.05,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2005.0,2030.0,0.04,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2005.0,2031.0,0.03,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2005.0,2032.0,0.02,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2005.0,2033.0,0.01,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2005.0,2034.0,0.01,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2005.0,2035.0,0.01,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2005.0,2036.0,0.01,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2005.0,2037.0,0.0,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2005.0,2038.0,0.0,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2005.0,2039.0,0.0,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2005.0,2040.0,0.0,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2005.0,2041.0,0.0,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2005.0,2042.0,0.0,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2005.0,2043.0,0.0,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2005.0,2044.0,0.0,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2005.0,2045.0,0.0,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2005.0,2046.0,0.0,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2005.0,2047.0,0.0,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2010.0,2010.0,1.0,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2010.0,2011.0,1.0,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2010.0,2012.0,0.99,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2010.0,2013.0,0.99,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2010.0,2014.0,0.98,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2010.0,2015.0,0.97,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2010.0,2016.0,0.96,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2010.0,2017.0,0.94,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2010.0,2018.0,0.92,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2010.0,2019.0,0.89,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2010.0,2020.0,0.86,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2010.0,2021.0,0.83,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2010.0,2022.0,0.79,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2010.0,2023.0,0.72,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2010.0,2024.0,0.61,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2010.0,2025.0,0.51,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2010.0,2026.0,0.41,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2010.0,2027.0,0.33,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2010.0,2028.0,0.26,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2010.0,2029.0,0.2,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2010.0,2030.0,0.16,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2010.0,2031.0,0.12,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2010.0,2032.0,0.09,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2010.0,2033.0,0.07,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2010.0,2034.0,0.05,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2010.0,2035.0,0.04,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2010.0,2036.0,0.03,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2010.0,2037.0,0.02,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2010.0,2038.0,0.01,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2010.0,2039.0,0.01,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2010.0,2040.0,0.01,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2010.0,2041.0,0.01,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2010.0,2042.0,0.0,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2010.0,2043.0,0.0,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2010.0,2044.0,0.0,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2010.0,2045.0,0.0,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2010.0,2046.0,0.0,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2010.0,2047.0,0.0,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2010.0,2048.0,0.0,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2010.0,2049.0,0.0,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2010.0,2050.0,0.0,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2010.0,2051.0,0.0,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2010.0,2052.0,0.0,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2015.0,2015.0,1.0,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2015.0,2016.0,1.0,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2015.0,2017.0,0.99,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2015.0,2018.0,0.99,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2015.0,2019.0,0.98,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2015.0,2020.0,0.97,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2015.0,2021.0,0.96,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2015.0,2022.0,0.94,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2015.0,2023.0,0.92,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2015.0,2024.0,0.89,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2015.0,2025.0,0.86,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2015.0,2026.0,0.83,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2015.0,2027.0,0.79,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2015.0,2028.0,0.72,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2015.0,2029.0,0.61,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2015.0,2030.0,0.51,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2015.0,2031.0,0.41,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2015.0,2032.0,0.33,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2015.0,2033.0,0.26,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2015.0,2034.0,0.2,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2015.0,2035.0,0.16,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2015.0,2036.0,0.12,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2015.0,2037.0,0.09,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2015.0,2038.0,0.07,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2015.0,2039.0,0.05,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2015.0,2040.0,0.04,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2015.0,2041.0,0.03,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2015.0,2042.0,0.02,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2015.0,2043.0,0.01,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2015.0,2044.0,0.01,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2015.0,2045.0,0.01,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2015.0,2046.0,0.01,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2015.0,2047.0,0.0,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2015.0,2048.0,0.0,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2015.0,2049.0,0.0,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2015.0,2050.0,0.0,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2015.0,2051.0,0.0,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2015.0,2052.0,0.0,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2015.0,2053.0,0.0,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2015.0,2054.0,0.0,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2015.0,2055.0,0.0,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2015.0,2056.0,0.0,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2015.0,2057.0,0.0,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2020.0,2020.0,1.0,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2020.0,2021.0,1.0,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2020.0,2022.0,0.99,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2020.0,2023.0,0.99,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2020.0,2024.0,0.98,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2020.0,2025.0,0.97,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2020.0,2026.0,0.96,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2020.0,2027.0,0.94,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2020.0,2028.0,0.92,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2020.0,2029.0,0.89,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2020.0,2030.0,0.86,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2020.0,2031.0,0.83,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2020.0,2032.0,0.79,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2020.0,2033.0,0.72,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2020.0,2034.0,0.61,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2020.0,2035.0,0.51,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2020.0,2036.0,0.41,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2020.0,2037.0,0.33,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2020.0,2038.0,0.26,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2020.0,2039.0,0.2,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2020.0,2040.0,0.16,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2020.0,2041.0,0.12,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2020.0,2042.0,0.09,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2020.0,2043.0,0.07,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2020.0,2044.0,0.05,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2020.0,2045.0,0.04,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2020.0,2046.0,0.03,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2020.0,2047.0,0.02,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2020.0,2048.0,0.01,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2020.0,2049.0,0.01,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2020.0,2050.0,0.01,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2020.0,2051.0,0.01,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2020.0,2052.0,0.0,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2020.0,2053.0,0.0,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2020.0,2054.0,0.0,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2020.0,2055.0,0.0,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2020.0,2056.0,0.0,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2020.0,2057.0,0.0,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2020.0,2058.0,0.0,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2020.0,2059.0,0.0,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2020.0,2060.0,0.0,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2020.0,2061.0,0.0,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL,2020.0,2062.0,0.0,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2010.0,2010.0,1.0,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2010.0,2011.0,1.0,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2010.0,2012.0,0.99,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2010.0,2013.0,0.99,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2010.0,2014.0,0.98,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2010.0,2015.0,0.97,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2010.0,2016.0,0.96,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2010.0,2017.0,0.94,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2010.0,2018.0,0.92,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2010.0,2019.0,0.89,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2010.0,2020.0,0.86,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2010.0,2021.0,0.83,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2010.0,2022.0,0.79,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2010.0,2023.0,0.72,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2010.0,2024.0,0.61,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2010.0,2025.0,0.51,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2010.0,2026.0,0.41,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2010.0,2027.0,0.33,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2010.0,2028.0,0.26,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2010.0,2029.0,0.2,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2010.0,2030.0,0.16,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2010.0,2031.0,0.12,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2010.0,2032.0,0.09,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2010.0,2033.0,0.07,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2010.0,2034.0,0.05,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2010.0,2035.0,0.04,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2010.0,2036.0,0.03,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2010.0,2037.0,0.02,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2010.0,2038.0,0.01,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2010.0,2039.0,0.01,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2010.0,2040.0,0.01,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2010.0,2041.0,0.01,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2010.0,2042.0,0.0,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2010.0,2043.0,0.0,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2010.0,2044.0,0.0,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2010.0,2045.0,0.0,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2010.0,2046.0,0.0,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2010.0,2047.0,0.0,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2010.0,2048.0,0.0,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2010.0,2049.0,0.0,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2010.0,2050.0,0.0,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2010.0,2051.0,0.0,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2010.0,2052.0,0.0,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2015.0,2015.0,1.0,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2015.0,2016.0,1.0,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2015.0,2017.0,0.99,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2015.0,2018.0,0.99,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2015.0,2019.0,0.98,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2015.0,2020.0,0.97,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2015.0,2021.0,0.96,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2015.0,2022.0,0.94,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2015.0,2023.0,0.92,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2015.0,2024.0,0.89,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2015.0,2025.0,0.86,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2015.0,2026.0,0.83,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2015.0,2027.0,0.79,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2015.0,2028.0,0.72,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2015.0,2029.0,0.61,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2015.0,2030.0,0.51,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2015.0,2031.0,0.41,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2015.0,2032.0,0.33,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2015.0,2033.0,0.26,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2015.0,2034.0,0.2,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2015.0,2035.0,0.16,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2015.0,2036.0,0.12,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2015.0,2037.0,0.09,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2015.0,2038.0,0.07,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2015.0,2039.0,0.05,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2015.0,2040.0,0.04,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2015.0,2041.0,0.03,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2015.0,2042.0,0.02,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2015.0,2043.0,0.01,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2015.0,2044.0,0.01,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2015.0,2045.0,0.01,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2015.0,2046.0,0.01,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2015.0,2047.0,0.0,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2015.0,2048.0,0.0,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2015.0,2049.0,0.0,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2015.0,2050.0,0.0,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2015.0,2051.0,0.0,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2015.0,2052.0,0.0,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2015.0,2053.0,0.0,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2015.0,2054.0,0.0,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2015.0,2055.0,0.0,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2015.0,2056.0,0.0,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2015.0,2057.0,0.0,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2020.0,2020.0,1.0,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2020.0,2021.0,1.0,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2020.0,2022.0,0.99,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2020.0,2023.0,0.99,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2020.0,2024.0,0.98,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2020.0,2025.0,0.97,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2020.0,2026.0,0.96,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2020.0,2027.0,0.94,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2020.0,2028.0,0.92,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2020.0,2029.0,0.89,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2020.0,2030.0,0.86,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2020.0,2031.0,0.83,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2020.0,2032.0,0.79,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2020.0,2033.0,0.72,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2020.0,2034.0,0.61,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2020.0,2035.0,0.51,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2020.0,2036.0,0.41,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2020.0,2037.0,0.33,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2020.0,2038.0,0.26,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2020.0,2039.0,0.2,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2020.0,2040.0,0.16,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2020.0,2041.0,0.12,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2020.0,2042.0,0.09,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2020.0,2043.0,0.07,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2020.0,2044.0,0.05,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2020.0,2045.0,0.04,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2020.0,2046.0,0.03,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2020.0,2047.0,0.02,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2020.0,2048.0,0.01,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2020.0,2049.0,0.01,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2020.0,2050.0,0.01,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2020.0,2051.0,0.01,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2020.0,2052.0,0.0,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2020.0,2053.0,0.0,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2020.0,2054.0,0.0,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2020.0,2055.0,0.0,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2020.0,2056.0,0.0,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2020.0,2057.0,0.0,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2020.0,2058.0,0.0,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2020.0,2059.0,0.0,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2020.0,2060.0,0.0,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2020.0,2061.0,0.0,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_HEV,2020.0,2062.0,0.0,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_PHEV35,2010.0,2010.0,1.0,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_PHEV35,2010.0,2011.0,1.0,From MOVES5,TRPHRAB001
AB,T_LDV_C_GSL_PHEV35,2010.0,2012.0,0.99,From MOVES5,TRPHRAB001
